objectid,title,name_2,description,find_address,build_name,build_name_2,room,early_date,late_date,style,identifier,still_exist2,still_exist,genre,subject,themes,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
obj_031,Theseus abandoning Ariadne,,Theseus abandoning Ariadne on Naxos to board the ship that will carry him to Athens.,V.1.26,House of L. Caecilius Jucundus,,o,35,45,,MANN 115396,Yes,1,Genre,Theseus; Ariadne,,Sailko,https://creativecommons.org/licenses/by-sa/3.0/,image,https://upload.wikimedia.org/wikipedia/commons/2/2d/Teseo_abbandona_arianna%2C_da_casa_di_lucio_cecilio_giocondo_a_pompei%2C_115396.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2d/Teseo_abbandona_arianna%2C_da_casa_di_lucio_cecilio_giocondo_a_pompei%2C_115396.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2d/Teseo_abbandona_arianna%2C_da_casa_di_lucio_cecilio_giocondo_a_pompei%2C_115396.JPG,,
obj_032,Punishment of Dirce,,"Punishment of Dirce by  Antiope and her sons, Amphion and Zethos.",VII.4.56,Casa del Granduca di Toscana,House of the Grand Duke of Tuscany,9,30,40,3,MANN 9042,Yes,1,Genre,"Dirce; Antiope, Amphion, Zethos",,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/e8/Wall_painting_-_punishment_of_Dirke_-_Pompeii_%28VII_4_56%29_-_Napoli_MAN_9042_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Wall_painting_-_punishment_of_Dirke_-_Pompeii_%28VII_4_56%29_-_Napoli_MAN_9042_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Wall_painting_-_punishment_of_Dirke_-_Pompeii_%28VII_4_56%29_-_Napoli_MAN_9042_-_01.jpg,,
obj_033,Perseus freeing Andromeda,,Perseus freeing Andromeda from the cliff.,VII.16.10,House of the Prince of Montenegro,Scavo del Principe del Montenegro,oecus,20,45,3,MANN 8997,Yes,1,Genre,Perseus; Andromeda; Medusa,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/5/56/Wall_painting_-_Perseus_saving_Andromeda_-_Pompeii_%28VII_ins_occ_15%29_-_Napoli_MAN_8997.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Wall_painting_-_Perseus_saving_Andromeda_-_Pompeii_%28VII_ins_occ_15%29_-_Napoli_MAN_8997.jpg,https://upload.wikimedia.org/wikipedia/commons/5/56/Wall_painting_-_Perseus_saving_Andromeda_-_Pompeii_%28VII_ins_occ_15%29_-_Napoli_MAN_8997.jpg,,
obj_034,Drunken Hercules with Omphale,,Drunken Hercules with Omphale while cupids steal his club.,VII.16.10,House of the Prince of Montenegro,Scavo del Principe del Montenegro,oecus,,,3,MANN 9000,Yes,1,Genre,Heracles; Omphale; Cupids,,,,image,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hercules_and_Omphale%2C_from_Pompeii_VII_Ins_Occ_10._Naples%2C_Archaeological_Museum_9000.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hercules_and_Omphale%2C_from_Pompeii_VII_Ins_Occ_10._Naples%2C_Archaeological_Museum_9000.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Hercules_and_Omphale%2C_from_Pompeii_VII_Ins_Occ_10._Naples%2C_Archaeological_Museum_9000.jpg,,
obj_035,Epiphany of Dionysus,Bacchus discovering Ariadne,Ariadne being discovered by Dionysus on Naxos while a cupid watches over her.,VII.4.31/51,House of the Colored Capitals,House of Ariadne,24,45,79,4,MANN 9278,Yes,1,Genre,Dionysus; Ariadne; Cupids,,Sailko,https://creativecommons.org/licenses/by-sa/3.0/,image,https://upload.wikimedia.org/wikipedia/commons/7/76/Dioniso_scopre_arianna%2C_da_casa_dei_capitelli_colorati_a_pompei%2C_9278.JPG,https://upload.wikimedia.org/wikipedia/commons/7/76/Dioniso_scopre_arianna%2C_da_casa_dei_capitelli_colorati_a_pompei%2C_9278.JPG,https://upload.wikimedia.org/wikipedia/commons/7/76/Dioniso_scopre_arianna%2C_da_casa_dei_capitelli_colorati_a_pompei%2C_9278.JPG,,
obj_036,Ares and Aphrodite,Mars and Venus,Reclining nude Aphrodite with Ares and cupids.,VII.9.47,House of Venus and Mars,House of the Wedding of Hercules,7,45,79,4,MANN 9248,Yes,1,Genre,Ares; Aphrodite; Cupids,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/4/49/Wall_painting_-_Aphrodite_and_Ares_-_Pompeii_%28VII_9_47%29_-_Napoli_MAN_9248.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Wall_painting_-_Aphrodite_and_Ares_-_Pompeii_%28VII_9_47%29_-_Napoli_MAN_9248.jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Wall_painting_-_Aphrodite_and_Ares_-_Pompeii_%28VII_9_47%29_-_Napoli_MAN_9248.jpg,,
obj_037,Narcissus,,Seated Narcissus on a rock.,VI.16.15,Casa dell'Ara Massima,House of Pinarius,d,,,,IN SITU,Yes,1,Genre,Narcissus,,,,image,https://upload.wikimedia.org/wikipedia/commons/8/80/Narcissus%2C_Pompeii_VI.16.15_%28House_of_the_Ara_Maxima%29%2C_pseudo-tablinum_D%2C_west_wall_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Narcissus%2C_Pompeii_VI.16.15_%28House_of_the_Ara_Maxima%29%2C_pseudo-tablinum_D%2C_west_wall_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Narcissus%2C_Pompeii_VI.16.15_%28House_of_the_Ara_Maxima%29%2C_pseudo-tablinum_D%2C_west_wall_-_02.jpg,,
obj_038,Narcissus and Echo,,Seated Narcissus on rock with Echo and cupids.,VI.7.20,Casa dell'Argenteria,Casa dei Vasi d'Argento,7,45,79,4,MANN 9380,Yes,1,Genre,Narcissus; Echo,,,,image,https://upload.wikimedia.org/wikipedia/commons/e/ee/Affresco_romano_-_Pompei_-_Narciso_ed_Eco.JPG,https://upload.wikimedia.org/wikipedia/commons/e/ee/Affresco_romano_-_Pompei_-_Narciso_ed_Eco.JPG,https://upload.wikimedia.org/wikipedia/commons/e/ee/Affresco_romano_-_Pompei_-_Narciso_ed_Eco.JPG,,
obj_039,Iphigenia in Tauris,,Iphigenia awaiting rescue by Orestes and Pylades.,V.1.26,House of L. Caecilius Jucundus,,i,,,3,MANN 111439,,1,Genre,"Iphigenia; Orestes, Pylades",Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/e1/Wall_painting_-_Iphigenia_in_Tauris_-_Pompeii_%28V_1_26%29_-_Napoli_MAN_111439.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Wall_painting_-_Iphigenia_in_Tauris_-_Pompeii_%28V_1_26%29_-_Napoli_MAN_111439.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Wall_painting_-_Iphigenia_in_Tauris_-_Pompeii_%28V_1_26%29_-_Napoli_MAN_111439.jpg,,
obj_040,Odysseus and the Sirens,,Odysseus bound to a ship's mast listening to the Sirens. ,,,,,50,79,3,"BM 1867,0508.1354",,1,Genre,Odysseus; Sirens,Odyssey,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/a6/Wall_painting_-_Odysseus_and_the_Sirens_-_Pompeii_-_London_BM_GR_1867-0508-1354_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Wall_painting_-_Odysseus_and_the_Sirens_-_Pompeii_-_London_BM_GR_1867-0508-1354_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Wall_painting_-_Odysseus_and_the_Sirens_-_Pompeii_-_London_BM_GR_1867-0508-1354_-_01.jpg,,
obj_041,Death of Ikaros,Death of Icarus,Icarus falling from the sky to his death.,,,,,50,79,3,"BM GR 1867,0508.1355",,1,Genre,Icarus; Daedalus,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/e2/Wall_painting_-_death_of_Ikaros_-_Pompeii_-_London_BM_GR_1867-0508-1355.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Wall_painting_-_death_of_Ikaros_-_Pompeii_-_London_BM_GR_1867-0508-1355.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e2/Wall_painting_-_death_of_Ikaros_-_Pompeii_-_London_BM_GR_1867-0508-1355.jpg,,
obj_042,Laokoon and his sons,Death of Laocoon and his sons,Death of Laocoon's two sons by the snakes.,VI.43.30,House of Laocoon,,b,,,3,MANN 111210,,1,Genre,Laocoon,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/9e/Wall_painting_-_Laokoon_and_his_sons_killed_by_the_snakes_-_Pompeii_%28VI_14_30%29_-_Napoli_MAN_111210.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Wall_painting_-_Laokoon_and_his_sons_killed_by_the_snakes_-_Pompeii_%28VI_14_30%29_-_Napoli_MAN_111210.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Wall_painting_-_Laokoon_and_his_sons_killed_by_the_snakes_-_Pompeii_%28VI_14_30%29_-_Napoli_MAN_111210.jpg,,
obj_043,Ares and Aphrodite,Mars and Venus,Seated Aphrodite with Ares standing behind her.,VII.2.23,House of the Punished Eros,,,,,3,MANN 9249,,1,Genre,Ares; Aphrodite; Cupids,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/9a/Wall_painting_-_Ares_and_Aphrodite_-_Pompeii_%28VII_2_23%29_-_Napoli_MAN_9249_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Wall_painting_-_Ares_and_Aphrodite_-_Pompeii_%28VII_2_23%29_-_Napoli_MAN_9249_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Wall_painting_-_Ares_and_Aphrodite_-_Pompeii_%28VII_2_23%29_-_Napoli_MAN_9249_-_01.jpg,,
obj_044,Hercules and Nessus,,,IX.5.18,House of Jason,House of the Fatal Loves,g,,,3,MANN 111474,,1,Genre,Hercules; Nessus; Hyllus; Deianira,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/2/2c/Wall_painting_-_Herakles_and_Nessos_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111474.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Wall_painting_-_Herakles_and_Nessos_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111474.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Wall_painting_-_Herakles_and_Nessos_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111474.jpg,,
obj_045,Hephaistos producing new armor for Achilles,Hephestus producing new armor for Achilles,Hephestus offers a new shield to Achilles while his mother Thetis looks on.,IX.1.7,,,e,,,3,MANN 9529,,1,Genre,Hephaestus; Achilles; Thetis,Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/93/Wall_painting_-_Hephaistos_producing_the_new_arms_for_Achilles_-_Pompeii_%28IX_1_7%29_-_Napoli_MAN_9529.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Wall_painting_-_Hephaistos_producing_the_new_arms_for_Achilles_-_Pompeii_%28IX_1_7%29_-_Napoli_MAN_9529.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Wall_painting_-_Hephaistos_producing_the_new_arms_for_Achilles_-_Pompeii_%28IX_1_7%29_-_Napoli_MAN_9529.jpg,,
obj_046,Pan and nymphs making music,,Pan makes music with nymphs.,IX.5.18,House of Jason,House of the Fatal Loves,g,,,3,MANN 111473,,1,Genre,Pan,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/9f/Wall_painting_-_Pan_and_nymphs_making_music_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111473.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Wall_painting_-_Pan_and_nymphs_making_music_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111473.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Wall_painting_-_Pan_and_nymphs_making_music_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_111473.jpg,,
obj_047,Death of the Niobids,,"Artems and Apollo shoot the Niobids, who flee on horseback.",VII.15.2,House of the Sailor,,1,,,3,MANN 111479,,1,Genre,Artemis; Apollo; Niobe,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/9/95/Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg/1280px-Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg/1280px-Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg/330px-Wall_painting_-_death_of_the_Niobids_-_Pompeii_%28VII_15_2%29_-_Napoli_MAN_111479.jpg,
obj_048,Phaedra and her nurse,,A veiled Phaedra seated with her nurse standing nearby.,,,,,20,60,3,"BM GR 1856,0625.5",,1,Genre,Phaedra,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://commons.wikimedia.org/wiki/File:Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg/1280px-Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg/1280px-Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg/330px-Wall_painting_-_Phaidra_and_her_nurse_-_Pompeii_-_London_BM_GR_1856-0625-5_-_01.jpg,
obj_049,Odysseus discovering Achilles on Skyros,,Odysseus discovers a hidden Achilles on the island of Skyros.,VI.9.6,Casa dei Dioscuri,House of Castor and Pollux,42,,,4,MANN 9110,,1,Genre,Odysseus; Achilles,Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg/960px-Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg/960px-Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg/960px-Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg/250px-Wall_painting_-_Odysseus_discovering_Achilles_on_Skyros_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_9110.jpg,
obj_050,Pan and Hermaphrodite,,Hermaphrodite reclines while Pan flees.,VI.9.6,Casa dei Dioscuri,House of Castor and Pollux,37,,,4,MANN 27700,,1,Genre,Pan; Hermaphroditus,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg/1280px-Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg/1280px-Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg/1280px-Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg/330px-Wall_painting_-_Pan_and_Hermaphrodite_-_Pompeii_%28VI_9_6%29_-_Napoli_MAN_27700.jpg,
obj_051,Achilles restrained by Athena,,A fleeing Achilles being restrained by Athena. ,VI.9.6,Casa dei Dioscuri,House of Castor and Pollux,,,,4,MANN 9104,,1,Genre,Achilles; Athena,Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg/960px-Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg/960px-Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg/960px-Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg/250px-Wall_painting_-_Achilles_restrained_by_Athena_-_Pompeii_%28VI_9_6-7%29_-_Napoli_MAN_9104.jpg,
obj_052,Dionysus with Ariadne on Naxos,,A seated Dionysus touches Ariadne's breast while on the island of Naxos. Theseus' ship sails away in the background and Silenus looks on. ,VI.17.42,House of the Golden Bracelet,House of M. Fabius Rufus,20,,,4,Pompeii Antiquarium 41658,,1,Genre,Dionysus; Ariadne; Silenus; Theseus,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg/960px-Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg/960px-Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg/960px-Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg/250px-Wall_painting_-_Dionysos_joining_Ariadne_on_Naxos_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41658_-_02.jpg,
obj_053,Wedding of Alexander,,Alexander the Great marries one of his wives with Eros present. ,VI.17.42,House of the Golden Bracelet,House of M. Fabius Rufus,20,,,4,Pompeii Antiquarium 41657,,1,Genre,Alexander the Great; Eros,History,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg/960px-Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg/960px-Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg/960px-Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg/250px-Wall_painting_-_wedding_of_Alexander_-_Pompeii_%28VI_17_ins_occ_42%29_-_Pompeii_PAAnt_41657_-_01.jpg,
obj_054,Cyclopes working in the forge of Hephestus,,Cyclopes work in the forge of Hephestus.,VII.5.25,House of the Quadrigas,,L,,,4,MANN 9531,,1,Genre,Cyclopes,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg/960px-Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg/960px-Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg/960px-Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg/330px-Wall_painting_-_cyclopes_working_in_the_workshop_of_Hephaistos_-_Pompeii_%28VII_2_25%29_-_Napoli_MAN_9531.jpg,
obj_055,Dionysus with Helios and Aphrodite,,"Dionysus, seated on a throne, with Helio, Aphrodite, and other unidentified deities. ",VII.2.16,House of Gavius Rufus,Casa di Teseo,o,,,4,MANN 9449,,1,Genre,Dionysus; Helios; Aphrodite,,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg/960px-Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg/960px-Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg/960px-Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg/250px-Wall_painting_-_Dionysos_with_Helios_and_Aphrodite_-_Pompeii_%28VII_2_16%29_-_Napoli_MAN_9449_-_01.jpg,
